State,Year,Month,Precipitation/rainfall per month
Rajasthan,2019,1,8.6
Rajasthan,2019,2,21.8
Rajasthan,2019,3,4.2
Rajasthan,2019,4,3.1
Rajasthan,2019,5,1.7
Rajasthan,2019,6,37.6
Rajasthan,2019,7,104.5
Rajasthan,2019,8,138.2
Rajasthan,2019,9,58.7
Rajasthan,2019,10,10.1
Rajasthan,2019,11,1
Rajasthan,2019,12,0
Rajasthan,2020,1,1.4
Rajasthan,2020,2,21.7
Rajasthan,2020,3,0.4
Rajasthan,2020,4,3.2
Rajasthan,2020,5,1
Rajasthan,2020,6,90.4
Rajasthan,2020,7,318.3
Rajasthan,2020,8,278.4
Rajasthan,2020,9,87.9
Rajasthan,2020,10,30.5
Rajasthan,2020,11,1.3
Rajasthan,2020,12,0.3
Rajasthan,2021,1,0.8
Rajasthan,2021,2,2.2
Rajasthan,2021,3,4.7
Rajasthan,2021,4,8.4
Rajasthan,2021,5,23
Rajasthan,2021,6,13.8
Rajasthan,2021,7,94.3
Rajasthan,2021,8,69.6
Rajasthan,2021,9,84.9
Rajasthan,2021,10,0.5
Rajasthan,2021,11,0.2
Rajasthan,2021,12,0
Rajasthan,2022,1,28.3
Rajasthan,2022,2,10
Rajasthan,2022,3,6.5
Rajasthan,2022,4,7.3
Rajasthan,2022,5,8.4
Rajasthan,2022,6,23.6
Rajasthan,2022,7,196.9
Rajasthan,2022,8,261
Rajasthan,2022,9,136.7
Rajasthan,2022,10,3.2
Rajasthan,2022,11,0
Rajasthan,2022,12,1.1
Rajasthan,2023,1,8.6
Rajasthan,2023,2,21.8
Rajasthan,2023,3,4.2
Rajasthan,2023,4,3.1
Rajasthan,2023,5,1.7
Rajasthan,2023,6,37.6
Rajasthan,2023,7,104.5
Rajasthan,2023,8,138.2
Rajasthan,2023,9,58.7
Rajasthan,2023,10,10.1
Rajasthan,2023,11,1
Rajasthan,2023,12,0
